Date,Ligne,Heure_Départ,Heure_Arrivée,Passagers,Capacité,Carburant_L,Distance_km,Panne,Retard,Plaintes,Remplissage (%),Consommation_par_km,Emissions_CO2_kg,Météo,Type_Voiture,Vacances,Week-end,Heure_Pointe,Dépenses_Maintenance,Satisfaction_Client
2024-05-06,Ambohijatovo – Anosizato,11:15,12:13,19,25,16.6,13,Non,Non,1,76.0,1.28,44.5,Vent fort,5 places,Non,Non,Oui,35008.89,5
2024-05-07,Ambohijatovo – Anosizato,10:00,11:21,30,35,11.8,15,Non,Oui,3,85.7,0.79,31.6,Pluie,5 places,Non,Non,Oui,48972.84,2
2024-05-08,Ambohijatovo – Anosizato,15:30,16:43,22,25,11.3,16,Non,Oui,1,88.0,0.71,30.3,Orage,9 places,Oui,Oui,Non,7568.91,5
2024-05-09,Andavamamba – Ivato,08:45,09:29,30,40,8.6,11,Non,Non,0,75.0,0.78,23.0,Vent fort,9 places,Non,Non,Oui,33760.4,2
2024-05-10,Mahamasina – 67Ha,08:30,09:47,17,25,15.8,12,Non,Non,0,68.0,1.32,42.3,Soleil,9 places,Non,Non,Non,32319.23,1
2024-05-11,Analakely – Ankatso,09:15,10:45,23,25,16.2,12,Non,Non,0,92.0,1.35,43.4,Pluie,12 places,Oui,Non,Oui,17296.68,5
2024-05-12,Mahamasina – 67Ha,09:00,09:54,19,35,9.8,15,Non,Oui,1,54.3,0.65,26.3,Soleil,9 places,Oui,Non,Oui,7338.71,3
2024-05-01,Andavamamba – Ivato,12:30,13:50,23,35,13.6,13,Non,Non,0,65.7,1.05,36.4,Brouillard,5 places,Oui,Non,Non,36281.5,5
2024-05-02,Analakely – Ankatso,18:00,19:25,8,30,9.8,19,Non,Oui,5,26.7,0.52,26.3,Pluie,9 places,Non,Non,Oui,38734.33,1
2024-05-03,Ambohijatovo – Anosizato,16:30,17:41,6,25,11.7,14,Oui,Non,1,24.0,0.84,31.4,Pluie,12 places,Oui,Non,Non,23186.31,1
2024-05-04,Ankorondrano – Itaosy,05:30,06:45,11,25,17.2,17,Oui,Non,5,44.0,1.01,46.1,Brouillard,7 places,Oui,Non,Non,46056.35,5
2024-05-05,Andavamamba – Ivato,14:00,15:00,21,30,8.1,15,Non,Non,1,70.0,0.54,21.7,Pluie,5 places,Oui,Non,Oui,32000.92,5
2024-05-06,Analakely – Ankatso,15:45,17:10,10,25,13.0,15,Oui,Non,0,40.0,0.87,34.8,Pluie,7 places,Oui,Non,Non,44219.16,2
2024-05-07,Ankorondrano – Itaosy,20:00,21:11,15,40,14.9,20,Oui,Non,2,37.5,0.74,39.9,Vent fort,5 places,Non,Oui,Non,12234.2,4
2024-05-08,Analakely – Ankatso,08:30,09:30,8,30,9.3,10,Non,Non,0,26.7,0.93,24.9,Pluie,12 places,Non,Non,Oui,28358.68,5
2024-05-09,Mahamasina – 67Ha,20:30,21:34,25,25,13.2,18,Oui,Non,3,100.0,0.73,35.4,Brouillard,7 places,Non,Non,Non,9350.44,3
2024-05-10,Analakely – Ankatso,08:15,09:45,20,30,9.2,17,Non,Non,0,66.7,0.54,24.7,Soleil,7 places,Oui,Oui,Non,42173.04,4
2024-05-11,Ambohijatovo – Anosizato,10:45,11:20,34,35,10.0,15,Non,Non,0,97.1,0.67,26.8,Vent fort,5 places,Oui,Oui,Oui,26622.81,2
2024-05-12,Ambohijatovo – Anosizato,14:00,14:39,18,30,9.2,11,Non,Oui,1,60.0,0.84,24.7,Brouillard,9 places,Oui,Oui,Oui,9010.6,5
2024-05-13,Analakely – Ankatso,11:15,12:06,8,25,12.7,14,Non,Non,0,32.0,0.91,34.0,Vent fort,9 places,Oui,Non,Non,47049.62,1
2024-05-14,Mahamasina – 67Ha,06:45,07:48,16,35,9.3,14,Non,Oui,2,45.7,0.66,24.9,Soleil,7 places,Oui,Non,Non,48712.78,1
2024-05-15,Andavamamba – Ivato,15:45,17:09,9,35,15.7,10,Non,Non,0,25.7,1.57,42.1,Orage,9 places,Non,Non,Oui,38230.21,2
2024-05-16,Mahamasina – 67Ha,06:15,07:07,15,40,17.4,11,Oui,Non,1,37.5,1.58,46.6,Soleil,7 places,Non,Non,Oui,18640.78,1
2024-05-17,Analakely – Ankatso,14:30,15:11,33,35,15.8,19,Non,Oui,2,94.3,0.83,42.3,Vent fort,5 places,Non,Non,Non,44016.42,2
2024-05-18,Mahamasina – 67Ha,05:30,06:29,39,40,11.7,10,Non,Oui,0,97.5,1.17,31.4,Brouillard,5 places,Non,Non,Oui,9705.55,4
2024-05-19,Ankorondrano – Itaosy,19:45,20:15,13,30,16.4,12,Non,Non,1,43.3,1.37,44.0,Vent fort,5 places,Non,Oui,Non,20640.72,5
2024-05-20,Andavamamba – Ivato,16:15,16:51,30,35,14.3,13,Non,Non,1,85.7,1.1,38.3,Orage,7 places,Oui,Oui,Non,49835.03,5
2024-05-21,Ankorondrano – Itaosy,09:15,10:37,23,30,9.4,10,Non,Non,0,76.7,0.94,25.2,Orage,9 places,Oui,Non,Oui,18124.82,2
2024-05-22,Mahamasina – 67Ha,11:30,12:15,13,25,16.5,17,Oui,Non,3,52.0,0.97,44.2,Vent fort,5 places,Oui,Non,Non,31397.38,4
2024-05-23,Ambohijatovo – Anosizato,13:45,14:25,19,40,8.8,14,Non,Non,0,47.5,0.63,23.6,Vent fort,9 places,Oui,Non,Non,11412.3,5
2024-05-24,Ambohijatovo – Anosizato,12:45,13:22,7,30,10.6,16,Non,Non,1,23.3,0.66,28.4,Soleil,12 places,Oui,Non,Non,27418.81,3
2024-05-25,Analakely – Ankatso,08:45,09:50,10,30,12.5,13,Non,Non,0,33.3,0.96,33.5,Orage,12 places,Oui,Non,Non,8260.11,4
2024-05-26,Mahamasina – 67Ha,11:30,12:08,25,30,16.7,13,Non,Non,0,83.3,1.28,44.8,Soleil,9 places,Non,Non,Oui,25266.69,3
2024-05-27,Mahamasina – 67Ha,13:45,14:30,25,30,9.0,13,Non,Oui,2,83.3,0.69,24.1,Orage,5 places,Non,Non,Non,39246.26,5
2024-05-28,Mahamasina – 67Ha,20:30,21:14,6,25,16.0,18,Non,Oui,2,24.0,0.89,42.9,Orage,5 places,Non,Non,Oui,11858.72,2
2024-05-29,Analakely – Ankatso,15:45,16:37,29,35,12.4,16,Non,Non,1,82.9,0.78,33.2,Brouillard,7 places,Non,Oui,Oui,5820.47,4
2024-05-30,Ambohijatovo – Anosizato,17:00,17:43,23,25,17.3,17,Oui,Non,3,92.0,1.02,46.4,Pluie,5 places,Non,Non,Non,36296.02,5
2024-05-31,Mahamasina – 67Ha,10:00,10:43,21,30,13.4,12,Oui,Oui,0,70.0,1.12,35.9,Pluie,9 places,Non,Oui,Oui,41808.52,2
2024-06-01,Ankorondrano – Itaosy,08:00,08:34,26,40,9.4,15,Non,Non,0,65.0,0.63,25.2,Brouillard,7 places,Non,Non,Non,20974.83,2
2024-06-02,Ambohijatovo – Anosizato,15:30,16:00,26,30,8.9,15,Non,Oui,0,86.7,0.59,23.9,Vent fort,12 places,Oui,Non,Non,32465.02,5
2024-06-03,Ankorondrano – Itaosy,19:00,19:51,12,30,16.4,19,Oui,Non,2,40.0,0.86,44.0,Soleil,7 places,Non,Non,Non,33961.0,1
2024-06-04,Mahamasina – 67Ha,17:30,18:46,10,30,13.2,12,Non,Non,1,33.3,1.1,35.4,Vent fort,5 places,Oui,Non,Non,10972.21,4
2024-06-05,Analakely – Ankatso,18:15,19:13,23,30,15.1,18,Oui,Non,1,76.7,0.84,40.5,Orage,9 places,Non,Non,Non,12542.86,5
2024-06-06,Analakely – Ankatso,09:30,10:26,14,35,8.6,20,Non,Non,0,40.0,0.43,23.0,Soleil,9 places,Oui,Non,Oui,25934.25,2
2024-06-07,Ankorondrano – Itaosy,12:15,13:20,16,35,12.8,16,Non,Non,0,45.7,0.8,34.3,Brouillard,12 places,Non,Non,Non,14006.76,5
2024-06-08,Analakely – Ankatso,07:00,08:05,24,40,8.3,12,Oui,Non,5,60.0,0.69,22.2,Pluie,7 places,Non,Non,Oui,26998.1,3
2024-06-09,Ambohijatovo – Anosizato,16:30,17:41,6,25,11.7,14,Oui,Non,1,24.0,0.84,31.4,Pluie,12 places,Oui,Non,Non,23186.31,1
2024-06-10,Mahamasina – 67Ha,18:30,19:11,6,40,9.5,13,Non,Oui,2,15.0,0.73,25.5,Soleil,9 places,Non,Oui,Oui,17819.28,4
2024-06-11,Ankorondrano – Itaosy,19:15,20:25,28,40,13.7,17,Non,Non,1,70.0,0.81,36.7,Pluie,9 places,Oui,Non,Oui,10409.41,5
2024-06-01,Ambohijatovo – Anosizato,16:00,17:28,24,25,16.6,19,Non,Oui,4,96.0,0.87,44.5,Brouillard,5 places,Oui,Non,Non,31040.39,4
2024-06-02,Ambohijatovo – Anosizato,20:30,21:37,22,30,14.2,16,Non,Non,1,73.3,0.89,38.1,Soleil,9 places,Oui,Non,Non,49606.52,4
2024-06-03,Analakely – Ankatso,12:30,13:18,18,40,10.8,19,Non,Non,1,45.0,0.57,28.9,Vent fort,5 places,Oui,Non,Non,15437.62,4
2024-06-04,Analakely – Ankatso,17:00,18:24,15,35,14.7,19,Non,Oui,3,42.9,0.77,39.4,Brouillard,5 places,Non,Non,Oui,41026.4,4
2024-06-05,Ankorondrano – Itaosy,06:45,07:32,16,25,11.6,19,Non,Non,1,64.0,0.61,31.1,Soleil,5 places,Non,Non,Oui,6367.42,1
2024-06-06,Ankorondrano – Itaosy,20:00,21:01,27,35,12.9,14,Non,Oui,4,77.1,0.92,34.6,Pluie,9 places,Oui,Non,Oui,8707.15,4
2024-06-07,Ankorondrano – Itaosy,07:00,07:51,21,35,12.6,18,Oui,Oui,0,60.0,0.7,33.8,Orage,9 places,Oui,Non,Non,18543.36,2
2024-06-08,Mahamasina – 67Ha,07:30,08:37,28,35,9.6,17,Non,Oui,4,80.0,0.56,25.7,Soleil,12 places,Non,Non,Non,26900.1,3
2024-06-09,Mahamasina – 67Ha,07:45,09:01,20,30,11.3,13,Oui,Oui,5,66.7,0.87,30.3,Pluie,5 places,Oui,Non,Non,20356.15,4
2024-06-10,Ankorondrano – Itaosy,17:30,18:33,7,25,16.3,11,Non,Non,0,28.0,1.48,43.7,Pluie,12 places,Oui,Non,Non,34264.66,5
2024-06-11,Andavamamba – Ivato,08:00,09:11,25,30,8.9,18,Non,Non,0,83.3,0.49,23.9,Soleil,5 places,Oui,Non,Oui,42793.76,2
2024-06-12,Mahamasina – 67Ha,07:00,07:53,22,35,17.2,17,Non,Non,0,62.9,1.01,46.1,Orage,7 places,Oui,Oui,Oui,31027.41,5
2024-06-13,Mahamasina – 67Ha,09:00,09:54,19,35,9.8,15,Non,Oui,1,54.3,0.65,26.3,Soleil,9 places,Oui,Non,Oui,7338.71,3
2024-06-14,Ankorondrano – Itaosy,19:45,21:04,34,40,10.3,14,Oui,Oui,3,85.0,0.74,27.6,Brouillard,5 places,Oui,Non,Oui,22947.03,2
2024-06-15,Analakely – Ankatso,19:30,20:26,16,25,10.0,19,Non,Oui,2,64.0,0.53,26.8,Orage,12 places,Non,Oui,Non,32837.51,2
2024-06-16,Andavamamba – Ivato,15:45,17:09,9,35,15.7,10,Non,Non,0,25.7,1.57,42.1,Orage,9 places,Non,Non,Oui,38230.21,2
2024-06-17,Analakely – Ankatso,14:45,15:41,18,25,12.0,17,Non,Non,0,72.0,0.71,32.2,Pluie,7 places,Non,Non,Oui,14934.63,5
2024-06-18,Analakely – Ankatso,18:15,19:37,22,35,11.3,20,Non,Non,1,62.9,0.57,30.3,Soleil,12 places,Oui,Oui,Oui,15227.13,4
2024-06-19,Ankorondrano – Itaosy,06:45,07:32,16,25,11.6,19,Non,Non,1,64.0,0.61,31.1,Soleil,5 places,Non,Non,Oui,6367.42,1
2024-06-20,Mahamasina – 67Ha,06:45,07:48,16,35,9.3,14,Non,Oui,2,45.7,0.66,24.9,Soleil,7 places,Oui,Non,Non,48712.78,1
2024-06-21,Analakely – Ankatso,13:00,14:22,16,25,10.7,18,Non,Non,0,64.0,0.59,28.7,Pluie,7 places,Oui,Oui,Oui,40844.18,4
2024-06-22,Mahamasina – 67Ha,13:45,15:06,24,40,13.2,10,Non,Oui,1,60.0,1.32,35.4,Brouillard,12 places,Non,Non,Oui,45531.58,4
2024-06-23,Mahamasina – 67Ha,08:15,08:49,25,25,17.0,10,Non,Non,1,100.0,1.7,45.6,Vent fort,5 places,Non,Non,Oui,25354.32,1
2024-06-24,Ankorondrano – Itaosy,18:30,19:24,17,30,15.9,13,Oui,Non,0,56.7,1.22,42.6,Pluie,9 places,Non,Non,Oui,14753.29,3
2024-06-25,Ambohijatovo – Anosizato,20:00,21:28,11,25,16.5,10,Non,Oui,2,44.0,1.65,44.2,Vent fort,12 places,Non,Non,Non,29991.36,1
2024-06-26,Analakely – Ankatso,05:00,06:12,23,30,17.4,17,Non,Non,1,76.7,1.02,46.6,Soleil,7 places,Oui,Oui,Non,24455.07,5
2024-06-27,Mahamasina – 67Ha,17:00,17:45,23,40,9.3,20,Non,Non,0,57.5,0.47,24.9,Vent fort,9 places,Oui,Non,Non,36025.92,5
2024-06-28,Analakely – Ankatso,15:15,16:00,17,25,16.9,19,Non,Non,1,68.0,0.89,45.3,Brouillard,5 places,Non,Non,Oui,25348.96,1
2024-06-29,Ankorondrano – Itaosy,17:45,18:28,33,40,15.8,17,Non,Non,0,82.5,0.93,42.3,Brouillard,9 places,Non,Non,Non,33639.36,2
2024-06-30,Ankorondrano – Itaosy,10:45,12:03,8,30,12.9,12,Non,Oui,5,26.7,1.07,34.6,Vent fort,12 places,Oui,Oui,Oui,35606.33,5
2024-07-01,Andavamamba – Ivato,13:45,14:33,39,40,10.1,10,Non,Non,1,97.5,1.01,27.1,Orage,12 places,Oui,Non,Oui,9721.86,5
2024-07-02,Ankorondrano – Itaosy,15:30,16:53,24,25,13.6,14,Non,Oui,3,96.0,0.97,36.4,Brouillard,9 places,Non,Non,Oui,21796.33,4
2024-07-03,Andavamamba – Ivato,16:45,17:18,34,40,15.3,15,Non,Non,1,85.0,1.02,41.0,Soleil,12 places,Oui,Oui,Oui,43896.12,3
2024-07-04,Ambohijatovo – Anosizato,08:00,09:05,18,25,16.3,13,Non,Non,1,72.0,1.25,43.7,Vent fort,7 places,Oui,Oui,Oui,8124.07,3
2024-07-05,Ankorondrano – Itaosy,17:15,18:29,12,35,13.1,10,Non,Oui,2,34.3,1.31,35.1,Brouillard,7 places,Non,Non,Oui,36386.22,2
2024-07-06,Ankorondrano – Itaosy,20:30,21:20,29,40,12.6,19,Non,Non,0,72.5,0.66,33.8,Brouillard,9 places,Non,Non,Non,27825.57,5
2024-07-07,Mahamasina – 67Ha,05:45,06:57,33,40,13.3,15,Non,Non,1,82.5,0.89,35.6,Soleil,7 places,Non,Non,Non,16616.0,2
2024-07-08,Andavamamba – Ivato,14:00,15:03,16,25,16.8,14,Non,Non,1,64.0,1.2,45.0,Orage,12 places,Non,Non,Oui,23977.44,3
2024-07-09,Ambohijatovo – Anosizato,13:00,13:48,5,25,9.3,13,Non,Non,0,20.0,0.72,24.9,Pluie,7 places,Oui,Oui,Oui,13979.41,4
2024-07-10,Andavamamba – Ivato,10:30,11:41,32,35,16.6,18,Non,Non,0,91.4,0.92,44.5,Brouillard,9 places,Oui,Oui,Non,12516.89,4
2024-07-11,Ambohijatovo – Anosizato,14:00,14:39,18,30,9.2,11,Non,Oui,1,60.0,0.84,24.7,Brouillard,9 places,Oui,Oui,Oui,9010.6,5
2024-07-12,Analakely – Ankatso,09:00,10:29,16,30,9.9,16,Non,Non,1,53.3,0.62,26.5,Pluie,5 places,Oui,Non,Non,24737.69,3
2024-07-01,Ankorondrano – Itaosy,17:15,18:05,6,25,16.4,17,Non,Non,0,24.0,0.96,44.0,Brouillard,5 places,Oui,Non,Oui,49450.35,1
2024-07-02,Ankorondrano – Itaosy,09:15,10:03,24,35,11.1,11,Oui,Non,4,68.6,1.01,29.7,Soleil,5 places,Oui,Non,Oui,31340.95,1
2024-07-03,Analakely – Ankatso,05:00,06:20,23,30,14.3,16,Non,Non,1,76.7,0.89,38.3,Pluie,12 places,Oui,Oui,Oui,19716.49,4
2024-07-04,Andavamamba – Ivato,15:15,16:43,29,35,14.4,13,Oui,Non,2,82.9,1.11,38.6,Vent fort,7 places,Oui,Non,Oui,5340.33,5
2024-07-05,Mahamasina – 67Ha,05:45,06:57,33,40,13.3,15,Non,Non,1,82.5,0.89,35.6,Soleil,7 places,Non,Non,Non,16616.0,2
2024-07-06,Ankorondrano – Itaosy,20:30,21:58,27,30,16.9,14,Non,Oui,0,90.0,1.21,45.3,Soleil,7 places,Oui,Non,Non,8605.17,5
2024-07-07,Mahamasina – 67Ha,18:45,19:19,30,40,12.9,12,Non,Non,1,75.0,1.07,34.6,Soleil,7 places,Oui,Non,Non,29299.34,1
2024-07-08,Ambohijatovo – Anosizato,05:15,06:18,35,40,16.6,16,Oui,Oui,2,87.5,1.04,44.5,Vent fort,7 places,Oui,Non,Oui,48331.71,5
2024-07-09,Ankorondrano – Itaosy,20:00,21:01,27,35,12.9,14,Non,Oui,4,77.1,0.92,34.6,Pluie,9 places,Oui,Non,Oui,8707.15,4
2024-07-10,Ankorondrano – Itaosy,17:15,18:07,21,35,13.1,15,Non,Non,0,60.0,0.87,35.1,Vent fort,5 places,Oui,Non,Non,36215.7,4
2024-07-11,Ankorondrano – Itaosy,07:00,07:44,25,30,17.7,15,Oui,Oui,2,83.3,1.18,47.4,Pluie,5 places,Non,Non,Non,40093.29,5
2024-07-12,Andavamamba – Ivato,12:00,12:41,27,35,16.8,20,Non,Oui,5,77.1,0.84,45.0,Vent fort,12 places,Oui,Oui,Non,15689.49,2
2024-07-13,Ambohijatovo – Anosizato,06:00,07:24,9,30,8.2,16,Oui,Non,4,30.0,0.51,22.0,Pluie,5 places,Oui,Non,Oui,49736.27,2
2024-07-14,Analakely – Ankatso,17:45,18:51,26,30,12.0,13,Non,Non,1,86.7,0.92,32.2,Vent fort,12 places,Oui,Non,Oui,17268.08,1
2024-07-15,Ankorondrano – Itaosy,19:30,20:28,30,30,16.5,15,Non,Non,1,100.0,1.1,44.2,Soleil,5 places,Non,Non,Non,25038.74,2
2024-07-16,Mahamasina – 67Ha,16:45,17:32,6,25,13.8,14,Non,Oui,1,24.0,0.99,37.0,Pluie,5 places,Non,Non,Oui,24268.98,2
2024-07-17,Ambohijatovo – Anosizato,20:30,21:39,17,25,10.9,20,Oui,Oui,0,68.0,0.55,29.2,Brouillard,12 places,Non,Non,Oui,15956.7,5
2024-07-18,Andavamamba – Ivato,15:45,17:09,9,35,15.7,10,Non,Non,0,25.7,1.57,42.1,Orage,9 places,Non,Non,Oui,38230.21,2
2024-07-19,Andavamamba – Ivato,09:45,10:57,24,25,16.6,14,Non,Non,0,96.0,1.19,44.5,Vent fort,9 places,Oui,Oui,Non,28357.69,1
2024-07-20,Ambohijatovo – Anosizato,15:00,16:15,23,25,12.0,20,Non,Oui,0,92.0,0.6,32.2,Orage,12 places,Oui,Non,Oui,36791.41,4
2024-07-21,Mahamasina – 67Ha,13:45,14:30,25,30,9.0,13,Non,Oui,2,83.3,0.69,24.1,Orage,5 places,Non,Non,Non,39246.26,5
2024-07-22,Ambohijatovo – Anosizato,11:00,12:21,11,40,17.5,14,Non,Non,1,27.5,1.25,46.9,Soleil,12 places,Oui,Non,Oui,6379.36,5
2024-07-23,Ankorondrano – Itaosy,17:00,18:24,26,30,16.0,14,Non,Oui,0,86.7,1.14,42.9,Vent fort,9 places,Non,Non,Oui,47507.64,1
2024-07-24,Analakely – Ankatso,18:15,19:35,13,25,8.1,20,Non,Non,0,52.0,0.4,21.7,Vent fort,9 places,Oui,Non,Non,13151.72,3
2024-07-25,Ambohijatovo – Anosizato,15:30,16:00,26,30,8.9,15,Non,Oui,0,86.7,0.59,23.9,Vent fort,12 places,Oui,Non,Non,32465.02,5
2024-07-26,Mahamasina – 67Ha,05:00,05:32,17,35,14.2,14,Non,Oui,3,48.6,1.01,38.1,Brouillard,5 places,Oui,Non,Non,47998.57,5
2024-07-27,Mahamasina – 67Ha,13:15,13:54,40,40,16.3,20,Non,Non,1,100.0,0.82,43.7,Pluie,9 places,Non,Non,Oui,19595.02,4
2024-07-28,Analakely – Ankatso,16:15,16:46,13,40,13.0,10,Oui,Non,1,32.5,1.3,34.8,Orage,12 places,Non,Non,Oui,29012.11,4
2024-07-29,Ambohijatovo – Anosizato,16:30,17:41,6,25,11.7,14,Oui,Non,1,24.0,0.84,31.4,Pluie,12 places,Oui,Non,Non,23186.31,1
2024-07-30,Ankorondrano – Itaosy,06:45,08:08,21,30,17.0,10,Oui,Non,1,70.0,1.7,45.6,Pluie,9 places,Non,Non,Oui,14262.85,1
2024-07-31,Ankorondrano – Itaosy,07:00,07:44,25,30,17.7,15,Oui,Oui,2,83.3,1.18,47.4,Pluie,5 places,Non,Non,Non,40093.29,5
2024-08-01,Andavamamba – Ivato,12:45,13:26,34,40,16.5,14,Non,Non,0,85.0,1.18,44.2,Orage,12 places,Non,Oui,Oui,25818.03,3
2024-08-02,Andavamamba – Ivato,12:00,12:41,27,35,16.8,20,Non,Oui,5,77.1,0.84,45.0,Vent fort,12 places,Oui,Oui,Non,15689.49,2
2024-08-03,Mahamasina – 67Ha,16:30,17:15,23,25,8.6,20,Non,Non,0,92.0,0.43,23.0,Brouillard,5 places,Non,Non,Oui,44088.04,3
2024-08-04,Analakely – Ankatso,09:30,10:26,14,35,8.6,20,Non,Non,0,40.0,0.43,23.0,Soleil,9 places,Oui,Non,Oui,25934.25,2
2024-08-05,Ankorondrano – Itaosy,13:00,14:14,6,40,14.7,15,Non,Non,1,15.0,0.98,39.4,Vent fort,5 places,Non,Oui,Oui,32817.01,2
2024-08-06,Analakely – Ankatso,11:30,12:17,9,40,8.1,12,Non,Oui,4,22.5,0.67,21.7,Brouillard,12 places,Non,Oui,Non,17313.2,5
2024-08-07,Ankorondrano – Itaosy,11:45,12:49,14,30,11.6,15,Non,Non,0,46.7,0.77,31.1,Soleil,5 places,Non,Non,Non,35039.75,1
2024-08-08,Andavamamba – Ivato,08:15,09:02,32,35,10.5,12,Non,Non,0,91.4,0.88,28.1,Vent fort,5 places,Non,Non,Non,5439.69,5
2024-08-09,Ambohijatovo – Anosizato,18:30,19:57,34,40,11.0,17,Non,Non,1,85.0,0.65,29.5,Soleil,7 places,Non,Non,Non,39302.83,3
2024-08-10,Ambohijatovo – Anosizato,13:15,14:07,28,30,17.6,19,Non,Non,1,93.3,0.93,47.2,Brouillard,7 places,Oui,Non,Non,7058.39,1
2024-08-11,Andavamamba – Ivato,16:15,16:51,30,35,14.3,13,Non,Non,1,85.7,1.1,38.3,Orage,7 places,Oui,Oui,Non,49835.03,5
2024-08-01,Analakely – Ankatso,12:45,14:10,8,40,12.5,18,Non,Non,0,20.0,0.69,33.5,Orage,5 places,Oui,Non,Oui,24389.94,2
2024-08-02,Ankorondrano – Itaosy,13:15,13:58,14,25,11.8,10,Non,Non,0,56.0,1.18,31.6,Pluie,7 places,Oui,Non,Non,23310.86,2
2024-08-03,Ambohijatovo – Anosizato,06:00,07:02,22,40,9.0,17,Non,Oui,3,55.0,0.53,24.1,Brouillard,7 places,Non,Non,Non,40795.25,1
2024-08-04,Andavamamba – Ivato,12:45,14:12,14,25,13.6,16,Non,Non,0,56.0,0.85,36.4,Vent fort,7 places,Oui,Oui,Oui,24601.25,2
2024-08-05,Mahamasina – 67Ha,14:30,15:42,33,40,13.1,15,Non,Non,1,82.5,0.87,35.1,Pluie,7 places,Oui,Non,Oui,30100.25,1
2024-08-06,Andavamamba – Ivato,09:45,11:10,21,35,15.1,20,Non,Non,0,60.0,0.76,40.5,Orage,5 places,Non,Non,Non,44056.32,3
2024-08-07,Ankorondrano – Itaosy,11:45,12:35,26,35,13.2,15,Non,Oui,0,74.3,0.88,35.4,Orage,9 places,Non,Non,Oui,7715.84,5
2024-08-08,Analakely – Ankatso,11:45,12:20,17,30,9.0,13,Non,Non,1,56.7,0.69,24.1,Brouillard,7 places,Non,Non,Oui,35069.58,4
2024-08-09,Andavamamba – Ivato,15:15,16:38,18,30,13.9,17,Non,Non,0,60.0,0.82,37.3,Brouillard,5 places,Oui,Non,Oui,38138.09,3
2024-08-10,Analakely – Ankatso,07:00,08:05,24,40,8.3,12,Oui,Non,5,60.0,0.69,22.2,Pluie,7 places,Non,Non,Oui,26998.1,3
2024-08-11,Analakely – Ankatso,20:15,21:23,11,35,13.6,19,Non,Oui,5,31.4,0.72,36.4,Pluie,9 places,Oui,Non,Oui,31197.67,4
2024-08-12,Ambohijatovo – Anosizato,15:30,16:40,21,25,14.6,10,Non,Non,1,84.0,1.46,39.1,Orage,9 places,Oui,Non,Oui,29641.66,1
2024-08-13,Analakely – Ankatso,08:45,09:50,10,30,12.5,13,Non,Non,0,33.3,0.96,33.5,Orage,12 places,Oui,Non,Non,8260.11,4
2024-08-14,Ambohijatovo – Anosizato,11:00,12:21,11,40,17.5,14,Non,Non,1,27.5,1.25,46.9,Soleil,12 places,Oui,Non,Oui,6379.36,5
2024-08-15,Ambohijatovo – Anosizato,12:45,13:22,7,30,10.6,16,Non,Non,1,23.3,0.66,28.4,Soleil,12 places,Oui,Non,Non,27418.81,3
2024-08-16,Mahamasina – 67Ha,09:00,09:54,19,35,9.8,15,Non,Oui,1,54.3,0.65,26.3,Soleil,9 places,Oui,Non,Oui,7338.71,3
2024-08-17,Ankorondrano – Itaosy,19:15,20:02,9,25,10.5,19,Non,Non,0,36.0,0.55,28.1,Soleil,7 places,Non,Oui,Oui,41584.36,1
2024-08-18,Andavamamba – Ivato,15:45,17:09,9,35,15.7,10,Non,Non,0,25.7,1.57,42.1,Orage,9 places,Non,Non,Oui,38230.21,2
2024-08-19,Mahamasina – 67Ha,09:15,10:27,31,40,14.1,17,Non,Oui,1,77.5,0.83,37.8,Pluie,5 places,Non,Non,Non,38159.32,4
2024-08-20,Ankorondrano – Itaosy,05:30,06:45,11,25,17.2,17,Oui,Non,5,44.0,1.01,46.1,Brouillard,7 places,Oui,Non,Non,46056.35,5
2024-08-21,Mahamasina – 67Ha,17:45,18:43,5,40,8.4,11,Non,Oui,1,12.5,0.76,22.5,Brouillard,9 places,Oui,Oui,Non,44183.75,1
2024-08-22,Ambohijatovo – Anosizato,20:00,21:28,11,25,16.5,10,Non,Oui,2,44.0,1.65,44.2,Vent fort,12 places,Non,Non,Non,29991.36,1
2024-08-23,Andavamamba – Ivato,08:00,09:11,25,30,8.9,18,Non,Non,0,83.3,0.49,23.9,Soleil,5 places,Oui,Non,Oui,42793.76,2
2024-08-24,Andavamamba – Ivato,07:15,08:06,29,40,14.8,13,Non,Oui,3,72.5,1.14,39.7,Brouillard,7 places,Oui,Oui,Non,22598.67,4
2024-08-25,Analakely – Ankatso,15:45,16:37,29,35,12.4,16,Non,Non,1,82.9,0.78,33.2,Brouillard,7 places,Non,Oui,Oui,5820.47,4
2024-08-26,Ankorondrano – Itaosy,12:15,13:26,8,25,11.8,12,Non,Non,0,32.0,0.98,31.6,Soleil,12 places,Non,Oui,Non,44230.26,2
2024-08-27,Andavamamba – Ivato,09:15,10:44,32,35,12.2,10,Oui,Non,1,91.4,1.22,32.7,Soleil,7 places,Oui,Non,Oui,16595.73,1
2024-08-28,Analakely – Ankatso,10:15,11:05,32,35,17.1,14,Non,Non,1,91.4,1.22,45.8,Brouillard,5 places,Non,Non,Non,31188.71,2
2024-08-29,Andavamamba – Ivato,20:00,21:03,36,40,15.9,20,Oui,Oui,4,90.0,0.8,42.6,Soleil,9 places,Oui,Non,Oui,25065.62,5
